url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.teknosa.com/acer-aspire-3-a31544p-ryzen-5-5500u-16-gb-512-gb-ssd-win11-home-156-fhd-60-hz-tasinabilir-bilgisayar-nxksjey00616-p-786294373,"Acer Aspire 3 A315-44P Ryzen 5 5500U 16 GB 512 GB SSD Win11 Home 15.6"" FHD 60 Hz Taşınabilir Bilgisayar NX.KSJEY.006-16",37999.0,"15.6""",512GB,RYZEN 5 5500U,16GB,Windows 11 Home,integrated
https://www.teknosa.com/asus-zenbook-14-ux3402vakp659w-i5-13500h-14-8-gb-ram-512-gb-ssd-wqxga-ips-2560x1600-win11home-laptop-p-786294646,"Asus Zenbook 14 UX3402VA-KP659W i5 13500H 14"" 8 GB RAM 512 GB SSD WQXGA IPS (2560x1600) Win11Home Laptop",37649.0,"14""",512GB,I5-13500H,8GB,Windows 11 Home,integrated
https://www.teknosa.com/hp-victus-16s0004nt-7z4m2ea-ryzen-7-7840hs-161-16-gb-ram-512-gb-ssd-8-gb-rtx-4070-fhd-ips-144-hz-w11h-laptop-p-786294418,"HP Victus 16-S0004NT 7Z4M2EA Ryzen 7 7840HS 16.1"" 16 GB RAM 512 GB SSD 8 GB RTX 4070 FHD IPS 144 Hz W11H Laptop",61999.0,"16.1""",512GB,RYZEN 7 7840HS,16GB,Windows 11 Home,RTX 4070
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi702-intel-core-i7-1255u-14-24-gb-ram-512-gb-ssd-mx550-fhd-freedos-laptop-p-786294475,"Lenovo E14 21E4S200MK ZI702 Intel Core i7 1255U 14"" 24 GB RAM 512 GB SSD MX550 FHD FreeDOS Laptop",112982.0,,512GB,I7-1255U,24GB,FreeDOS,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi703-intel-core-i7-1255u-14-24-gb-ram-1-tb-ssd-mx550-fhd-freedos-laptop-p-786294468,"Lenovo E14 21E4S200MK ZI703 Intel Core i7 1255U 14"" 24 GB RAM 1 TB SSD MX550 FHD FreeDOS Laptop",121012.0,,1TB,I7-1255U,24GB,FreeDOS,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi704-intel-core-i7-1255u-14-24-gb-ram-2-tb-ssd-mx550-fhd-freedos-laptop-p-786294466,"Lenovo E14 21E4S200MK ZI704 Intel Core i7 1255U 14"" 24 GB RAM 2 TB SSD MX550 FHD FreeDOS Laptop",133060.0,,2TB,I7-1255U,24GB,FreeDOS,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi705-intel-core-i7-1255u-14-40-gb-ram-512-gb-ssd-mx550-fhd-freedos-laptop-p-786294462,"Lenovo E14 21E4S200MK ZI705 Intel Core i7 1255U 14"" 40 GB RAM 512 GB SSD MX550 FHD FreeDOS Laptop",122350.0,,512GB,I7-1255U,40GB,FreeDOS,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi706-intel-core-i7-1255u-14-40-gb-ram-1-tb-ssd-mx550-fhd-freedos-laptop-p-786294465,"Lenovo E14 21E4S200MK ZI706 Intel Core i7 1255U 14"" 40 GB RAM 1 TB SSD MX550 FHD FreeDOS Laptop",130382.0,,1TB,I7-1255U,40GB,FreeDOS,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi708-intel-core-i7-1255u-14-16-gb-ram-512-gb-ssd-mx550-fhd-w11pro-laptop-p-786294459,"Lenovo E14 21E4S200MK ZI708 Intel Core i7 1255U 14"" 16 GB RAM 512 GB SSD MX550 FHD W11Pro Laptop",108966.0,,512GB,I7-1255U,16GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi709-intel-core-i7-1255u-14-16-gb-ram-1-tb-ssd-mx550-fhd-w11pro-laptop-p-786294474,"Lenovo E14 21E4S200MK ZI709 Intel Core i7 1255U 14"" 16 GB RAM 1 TB SSD MX550 FHD W11Pro Laptop",116996.0,,1TB,I7-1255U,16GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi710-intel-core-i7-1255u-14-16-gb-ram-2-tb-ssd-mx550-fhd-w11pro-laptop-p-786294476,"Lenovo E14 21E4S200MK ZI710 Intel Core i7 1255U 14"" 16 GB RAM 2 TB SSD MX550 FHD W11Pro Laptop",129042.0,"10""",2TB,I7-1255U,16GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi711-intel-core-i7-1255u-14-24-gb-ram-512-gb-ssd-mx550-fhd-w11pro-laptop-p-786294467,"Lenovo E14 21E4S200MK ZI711 Intel Core i7 1255U 14"" 24 GB RAM 512 GB SSD MX550 FHD W11Pro Laptop",118334.0,"11""",512GB,I7-1255U,24GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi712-intel-core-i7-1255u-14-24-gb-ram-1-tb-ssd-mx550-fhd-w11pro-laptop-p-786294461,"Lenovo E14 21E4S200MK ZI712 Intel Core i7 1255U 14"" 24 GB RAM 1 TB SSD MX550 FHD W11Pro Laptop",126366.0,"12""",1TB,I7-1255U,24GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi713-intel-core-i7-1255u-14-24-gb-ram-2-tb-ssd-mx550-fhd-w11pro-laptop-p-786294463,"Lenovo E14 21E4S200MK ZI713 Intel Core i7 1255U 14"" 24 GB RAM 2 TB SSD MX550 FHD W11Pro Laptop",138412.0,"13""",2TB,I7-1255U,24GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi714-intel-core-i7-1255u-14-40-gb-ram-512-gb-ssd-mx550-fhd-w11pro-laptop-p-786294470,"Lenovo E14 21E4S200MK ZI714 Intel Core i7 1255U 14"" 40 GB RAM 512 GB SSD MX550 FHD W11Pro Laptop",127704.0,"14""",512GB,I7-1255U,40GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi715-intel-core-i7-1255u-14-40-gb-ram-1-tb-ssd-mx550-fhd-w11pro-laptop-p-786294473,"Lenovo E14 21E4S200MK ZI715 Intel Core i7 1255U 14"" 40 GB RAM 1 TB SSD MX550 FHD W11Pro Laptop",135734.0,"15""",1TB,I7-1255U,40GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi716-intel-core-i7-1255u-14-40-gb-ram-2-tb-ssd-mx550-fhd-w11pro-laptop-p-786294471,"Lenovo E14 21E4S200MK ZI716 Intel Core i7 1255U 14"" 40 GB RAM 2 TB SSD MX550 FHD W11Pro Laptop",147782.0,"16""",2TB,I7-1255U,40GB,Windows 11 Pro,MX550
https://www.teknosa.com/lenovo-thinkbook-14-21kg004ntr-intel-core-i713700h-14-16-gb-ram-512-gb-ssd-wuxga-freedos-notebook-p-786294949,"Lenovo ThinkBook 14 21KG004NTR Intel Core i7-13700H 14"" 16 GB RAM 512 GB SSD WUXGA FreeDOS Notebook",48258.0,"14""",512GB,I7-13700H,16GB,FreeDOS,integrated
https://www.teknosa.com/lenovo-v15-g4-amn-82yu0124tx-amd-ryzen-5-7520u-156-8-gb-ram-512-gb-ssd-fhd-freedos-laptop-p-786294383,"Lenovo V15 G4 AMN 82YU0124TX AMD Ryzen 5 7520U 15.6"" 8 GB RAM 512 GB SSD FHD FreeDOS Laptop",21201.6,"15.6""",512GB,RYZEN 5 7520U,8GB,FreeDOS,integrated
https://www.teknosa.com/lenovo-v15-g4-iru-83a100gptr-intel-core-i7-1355u-156-16-gb-ram-512-gb-ssd-fhd-freedos-notebook-p-786294623,"Lenovo V15 G4 IRU 83A100GPTR Intel Core i7 1355U 15.6"" 16 GB RAM 512 GB SSD FHD FreeDOS Notebook",35049.0,"15.6""",512GB,I7-1355U,16GB,FreeDOS,integrated
https://www.teknosa.com/apple-15inch-macbook-air-apple-m2-chip-with-8core-cpu-and-10core-gpu-512gb-gece-yarisi-p-125034861,"Apple 15-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Gece Yarısı",60195.2,,,,12GB,macOS,integrated
https://www.teknosa.com/apple-macbook-air-m1-cip-133-16-gb-ram-256-gb-ssd-qhd-macos-tasinabilir-bilgisayar-z124m116256tq6-p-786282302,"Apple MacBook Air M1 Çip 13.3"" 16 GB RAM 256 GB SSD QHD MacOS Taşınabilir Bilgisayar Z124M116256-TQ6",39999.0,"13.3""",256GB,,16GB,macOS,integrated
https://www.teknosa.com/apple-macbook-air-m2-8c-cpu-10c-gpu-512gb-ssd-136-gece-yarisi-dizustu-bilgisayar-mly43tua-p-125035430,"Apple MacBook Air M2 8C Cpu 10C Gpu 512GB Ssd 13.6"" Gece Yarısı Dizüstü Bilgisayar MLY43TU/A",47989.0,"13.6""",512GB,,,macOS,integrated
https://www.teknosa.com/apple-macbook-air-m2-8c-cpu-10c-gpu-512gb-ssd-136-yildiz-isigi-dizustu-bilgisayar-mly23tua-p-125035428,"Apple MacBook Air M2 8C Cpu 10C Gpu 512GB Ssd 13.6"" Yıldız Işığı Dizüstü Bilgisayar MLY23TU/A",44987.0,"13.6""",512GB,,,macOS,integrated
https://www.teknosa.com/apple-macbook-air-m2-8c-cpu-8c-gpu-256gb-ssd-136-gece-yarisi-dizustu-bilgisayar-mly33tua-p-125035429,"Apple MacBook Air M2 8C Cpu 8C Gpu 256GB Ssd 13.6"" Gece Yarısı Dizüstü Bilgisayar MLY33TU/A",44900.0,"13.6""",256GB,,,macOS,integrated
https://www.teknosa.com/apple-macbook-air-mgn63tua-m1-8c-8gb-256-gb-sdd-13-uzay-grisi-dizustu-bilgisayar-p-125036113,"Apple Macbook Air MGN63TU/A M1 8C 8GB 256 GB SDD 13"" Uzay Grisi Dizüstü Bilgisayar",47999.0,"13""",,,8GB,macOS,integrated
https://www.teknosa.com/apple-macbook-pro-m2-pro-cip-12c-cpu-19c-gpu-512gb-ssd-16-gumus-dizustu-bilgisayar-mnwc3tua-p-125035379,"Apple MacBook Pro M2 Pro Çip 12C CPU 19C GPU 512GB SSD 16"" Gümüş Dizüstü Bilgisayar MNWC3TU/A",99999.0,"16""",512GB,,,macOS,integrated
https://www.teknosa.com/caspernirvana-z1001335bf00xmq-intel-core-i5-1335u-14-16-gb-ram-1-tb-nvme-ssd-freedos-laptop-p-786293404,"Casper Nirvana Z100.1335-BF00X-M-Q Intel Core i5 1335U 14"" 16 GB RAM 1 TB NVMe SSD FreeDOS Laptop",32399.0,"14""",1TB,I5-1335U,16GB,FreeDOS,integrated
https://www.teknosa.com/caspernirvana-z1001335bv00xmq-intel-core-i5-1335u-14-16-gb-ram-500-gb-nvme-ssd-freedos-laptop-p-786293405,"Casper Nirvana Z100.1335-BV00X-M-Q Intel Core i5 1335U 14"" 16 GB RAM 500 GB NVMe SSD FreeDOS Laptop",31299.0,"14""",500GB,I5-1335U,16GB,FreeDOS,integrated
https://www.teknosa.com/caspernirvana-z1001335bx00amq-intel-core-i5-1335u-16-gb-ram-2-tb-nvme-ssd-w11home-laptop-p-786293270,Casper Nirvana Z100.1335-BX00A-M-Q Intel Core i5 1335U 16 GB RAM 2 TB NVMe SSD W11Home Laptop,40399.0,,2TB,I5-1335U,16GB,,integrated
https://www.teknosa.com/caspernirvana-z1001335bx00xmq-intel-core-i5-1335u-16-gb-ram-2-tb-nvme-ssd-freedos-laptop-p-786293273,Casper Nirvana Z100.1335-BX00X-M-Q Intel Core i5 1335U 16 GB RAM 2 TB NVMe SSD FreeDOS Laptop,37299.0,,2TB,I5-1335U,16GB,FreeDOS,integrated
https://www.teknosa.com/caspernirvana-z1001355bf00asq-intel-core-i7-1335u-16-gb-ram-1-tb-nvme-ssd-w11home-laptop-p-786293271,Casper Nirvana Z100.1355-BF00A-S-Q Intel Core i7 1335U 16 GB RAM 1 TB NVMe SSD W11Home Laptop,43099.0,,1TB,I7-1335U,16GB,,integrated
https://www.teknosa.com/caspernirvana-z1001355bf00xsq-intel-core-i7-1335u-16-gb-ram-1-tb-nvme-ssd-freedos-laptop-p-786293275,Casper Nirvana Z100.1355-BF00X-S-Q Intel Core i7 1335U 16 GB RAM 1 TB NVMe SSD FreeDOS Laptop,39999.0,,1TB,I7-1335U,16GB,FreeDOS,integrated
https://www.teknosa.com/caspernirvana-z1001355bv00asq-intel-core-i7-1335u-16-gb-ram-500-gb-nvme-ssd-w11home-laptop-p-786293280,Casper Nirvana Z100.1355-BV00A-S-Q Intel Core i7 1335U 16 GB RAM 500 GB NVMe SSD W11Home Laptop,41999.0,,500GB,I7-1335U,16GB,,integrated
https://www.teknosa.com/caspernirvana-z1001355bv00xsq-intel-core-i7-1335u-16-gb-ram-500-gb-nvme-ssd-freedos-laptop-p-786293277,Casper Nirvana Z100.1355-BV00X-S-Q Intel Core i7 1335U 16 GB RAM 500 GB NVMe SSD FreeDOS Laptop,38899.0,,500GB,I7-1335U,16GB,FreeDOS,integrated
https://www.teknosa.com/caspernirvana-z1001355bx00asq-intel-core-i7-1335u-16-gb-ram-2-tb-nvme-ssd-w11home-laptop-p-786293282,Casper Nirvana Z100.1355-BX00A-S-Q Intel Core i7 1335U 16 GB RAM 2 TB NVMe SSD W11Home Laptop,47999.0,,2TB,I7-1335U,16GB,,integrated
https://www.teknosa.com/caspernirvana-z1001355bx00xsq-intel-core-i7-1335u-16-gb-ram-2-tb-nvme-ssd-freedos-laptop-p-786293284,Casper Nirvana Z100.1355-BX00X-S-Q Intel Core i7 1335U 16 GB RAM 2 TB NVMe SSD FreeDOS Laptop,44799.0,,2TB,I7-1335U,16GB,FreeDOS,integrated
https://www.teknosa.com/dynabook-portege-x30wk-4g-lte-intel-core-i71360p-133-32-gb-ram-2-tb-ssd-w11-pro-katlanabilir-kalemli-notebook-p-786293018,"Dynabook Portege X30W-K 4G LTE Intel Core i7-1360P 13.3"" 32 GB RAM 2 TB SSD W11 Pro Katlanabilir Kalemli Notebook",119000.0,"13.3""",2TB,I7-1360P,32GB,Windows 11,integrated
https://www.teknosa.com/lenovo-e14-21e4s200mk-zi707-intel-core-i7-1255u-14-40-gb-ram-2-tb-ssd-mx550-fhd-freedos-laptop-p-786294458,"Lenovo E14 21E4S200MK ZI707 Intel Core i7 1255U 14"" 40 GB RAM 2 TB SSD MX550 FHD FreeDOS Laptop",142426.0,,2TB,I7-1255U,40GB,FreeDOS,MX550
https://www.teknosa.com/lenovo-v15-g3-82tt00a5tx0223-i5-1235u-156-16-gb-ram-512-gb-ssd-fhd-w11pro-laptop-canta-p-786295061,"Lenovo V15 G3 82TT00A5TX0223 i5 1235U 15.6"" 16 GB RAM 512 GB SSD FHD W11Pro Laptop ve Çanta",30998.0,"15.6""",512GB,I5-1235U,16GB,Windows 11 Pro,integrated
https://www.teknosa.com/acer-aspire-3-a31559g522b-intel-i51235u-8gb-ram-512gb-ssd-2gb-geforce-mx550-156-fhd-w11-notebook-p-125035001,Acer Aspire 3 A315-59g-522b Intel i5-1235u 8gb Ram 512gb Ssd 2gb Geforce Mx550 15.6'' Fhd W11 Notebook,28999.0,,512GB,I5-1235U,8GB,Windows 11,MX550
https://www.teknosa.com/acer-nitro-v-15-anv1551-nhqncey001-intel-core-i5-13420h-156-8-gb-ram-512-gb-ssd-rtx-3050-6-gb-fhd-freedos-laptop-p-786291812,"Acer Nitro V 15 ANV15-51 NH.QNCEY.001 Intel Core i5 13420H 15.6"" 8 GB RAM 512 GB SSD RTX 3050 6 GB FHD FreeDOS Laptop",38999.0,,512GB,I5-13420H,8GB,FreeDOS,RTX 3050
https://www.teknosa.com/apple-13-macbook-air-m3-8core-cpu-10core-gpu-16gb-512gb-ssd-midnight-dizustu-bilgisayar-mxcv3tua-p-125036452,Apple 13” MacBook Air M3 8-Core CPU 10-Core GPU 16GB 512GB SSD Midnight Dizüstü Bilgisayar MXCV3TU/A,69999.0,"13""",512GB,,16GB,macOS,integrated
https://www.teknosa.com/apple-13-macbook-air-m3-8core-cpu-10core-gpu-16gb-512gb-ssd-silver-dizustu-bilgisayar-mxct3tua-p-125036453,Apple 13” MacBook Air M3 8-Core CPU 10-Core GPU 16GB 512GB SSD Silver Dizüstü Bilgisayar MXCT3TU/A,65999.0,"13""",512GB,,16GB,macOS,integrated
https://www.teknosa.com/apple-13-macbook-air-m3-8core-cpu-10core-gpu-16gb-512gb-ssd-space-grey-dizustu-bilgisayar-mxcr3tua-p-125036454,Apple 13” MacBook Air M3 8-Core CPU 10-Core GPU 16GB 512GB SSD Space Grey Dizüstü Bilgisayar MXCR3TU/A,64999.0,"13""",512GB,,16GB,macOS,integrated
https://www.teknosa.com/apple-13-macbook-air-m3-8core-cpu-10core-gpu-8gb-512gb-ssd-starlight-dizustu-bilgisayar-mrxu3tua-p-125036459,Apple 13” MacBook Air M3 8-Core CPU 10-Core GPU 8GB 512GB SSD Starlight Dizüstü Bilgisayar MRXU3TU/A,48900.0,"13""",512GB,,8GB,macOS,integrated
https://www.teknosa.com/apple-14-macbook-pro-apple-m3-chip-with-8-core-cpu-and-10-core-gpu-1tb-ssd-space-grey-mtl83tua-p-125038487,Apple 14” Macbook Pro Apple M3 Chip With 8 Core Cpu And 10 Core Gpu 1tb Ssd Space Grey Mtl83tu/A,86999.0,"14""",1TB,,,macOS,integrated
https://www.teknosa.com/apple-14-macbook-pro-apple-m3-chip-with-8-core-cpu-and-10-core-gpu-512gb-ssd-silver-mr7j3tua-p-125038472,Apple 14” Macbook Pro Apple M3 Chip With 8 Core Cpu And 10 Core Gpu 512gb Ssd Silver Mr7j3tu/A,74999.0,"14""",512GB,,,macOS,integrated
https://www.teknosa.com/apple-15-macbook-air-m3-8core-cpu-10core-gpu-16gb-512gb-ssd-midnight-dizustu-bilgisayar-mxd43tua-p-125036466,Apple 15” MacBook Air M3 8-Core CPU 10-Core GPU 16GB 512GB SSD Midnight Dizüstü Bilgisayar MXD43TU/A,69999.0,"15""",512GB,,16GB,macOS,integrated
https://www.teknosa.com/apple-15-macbook-air-m3-8core-cpu-10core-gpu-8gb-256gb-ssd-silver-dizustu-bilgisayar-mryp3tua-p-125036471,Apple 15” MacBook Air M3 8-Core CPU 10-Core GPU 8GB 256GB SSD Silver Dizüstü Bilgisayar MRYP3TU/A,54999.0,"15""",256GB,,8GB,macOS,integrated
https://www.teknosa.com/apple-15-macbook-air-m3-8core-cpu-10core-gpu-8gb-512gb-ssd-silver-dizustu-bilgisayar-mryq3tua-p-125036475,Apple 15” MacBook Air M3 8-Core CPU 10-Core GPU 8GB 512GB SSD Silver Dizüstü Bilgisayar MRYQ3TU/A,54999.0,"15""",512GB,,8GB,macOS,integrated
https://www.teknosa.com/apple-15-macbook-air-m3-8core-cpu-10core-gpu-8gb-512gb-ssd-space-grey-dizustu-bilgisayar-mryn3tua-p-125036476,Apple 15” MacBook Air M3 8-Core CPU 10-Core GPU 8GB 512GB SSD Space Grey Dizüstü Bilgisayar MRYN3TU/A,57999.0,"15""",512GB,,8GB,macOS,integrated
https://www.teknosa.com/asus-e1504fanj072w-amd-ryzen37320u-8gb-ram-256gb-ssd-156-fhd-w11-siyah-notebook-p-125039071,"Asus E1504FA-NJ072W AMD Ryzen3-7320U 8GB Ram 256GB SSD 15,6"" FHD W11 Siyah Notebook",18699.0,"15.6""",256GB,RYZEN 3 7320U,8GB,Windows 11,integrated
https://www.teknosa.com/asus-e1504fanj113w-amd-ryzen57520u-8gb-ram-512gb-ssd-156-fhd-w11-gumus-notebook-p-125039069,"Asus E1504fa-Nj113w Amd Ryzen5-7520u 8gb Ram 512gb Ssd 15,6"" Fhd W11 Gümüş Notebook",21599.0,"15.6""",512GB,RYZEN 5 7520U,8GB,Windows 11,integrated
https://www.teknosa.com/casper-nirvana-c37040204c00b-intel-celeron-n4020-156-4-gb-ram-120-gb-ssd-fhd-windows-11-home-tasinabilir-bilgisayar-p-786282458,"Casper Nirvana C370.4020-4C00B Intel Celeron N4020 15.6"" 4 GB RAM 120 GB SSD FHD Windows 11 Home Taşınabilir Bilgisayar",11999.0,"15.6""",120GB,,4GB,Windows 11 Home,integrated
https://www.teknosa.com/lenovo-v15-83a1003ntx-i7-1355u-156-16-gb-ram-256-gb-ssd-fhd-freedos-laptop-p-786291847,"Lenovo V15 83A1003NTX i7 1355U 15.6"" 16 GB RAM 256 GB SSD FHD FreeDOS Laptop",32999.0,"15.6""",256GB,I7-1355U,16GB,FreeDOS,integrated
https://www.teknosa.com/msi-cyborg-14-a13ve054xtr-core-i7-13620h-14-16-gb-ram-512-gb-ssd-6-gb-rtx-4050-45w-fhd-144-hz-freedos-laptop-p-786293170,"MSI Cyborg 14 A13VE-054XTR Core i7 13620H 14"" 16 GB RAM 512 GB SSD 6 GB RTX 4050 45W FHD+ 144 Hz FreeDOS Laptop",54999.0,"14""",512GB,I7-13620H,16GB,FreeDOS,RTX 4050
https://www.teknosa.com/msi-katana-15-b13vgk1469xtr-intel-core-i913900h-156-16-gb-ram-512-gb-ssd-8-gb-rtx4070-fhd-freedos-laptop-p-786289835,"MSI Katana 15 B13VGK-1469XTR Intel Core i9-13900H 15.6"" 16 GB RAM 512 GB SSD 8 GB RTX4070 FHD FreeDOS Laptop",70999.0,"15.6""",512GB,I9-13900H,16GB,FreeDOS,RTX 4070
https://www.teknosa.com/msi-katana-17-b13vgk1040xtr-core-i7-13620h-173-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-105w-fhd-144hz-freedos-laptop-p-786293168,"MSI Katana 17 B13VGK-1040XTR Core i7 13620H 17.3"" 32 GB RAM 1 TB SSD 8 GB RTX 4070 105W FHD 144Hz FreeDOS Laptop",92249.0,"17.3""",1TB,I7-13620H,32GB,FreeDOS,RTX 4070
https://www.teknosa.com/quadro-ds1630-ci7-10850h-16-14-dokunmatik-16-gb-ram-512-gb-nvme-ssd-frd-type-pci-exp-cift-ekran-freedos-laptop-p-786294155,"Quadro DS1630 Ci7 10850H 16"" + 14"" Dokunmatik 16 GB RAM 512 GB NVMe SSD FRD Type C PCI EXP Çift Ekran FreeDOS Laptop",42999.0,"16""",512GB,,16GB,FreeDOS,integrated
